Class,Label,Latitude,Longitude,B02,B03,B04,B08,NDVI,EVI,SAVI,NDWI
Urban Areas,1,4855685.0,674535.0,366,922,616,3061,-0.19895968790637192,-0.2247356051703878,-0.2983425414364641,-0.5370323876475018
Urban Areas,1,4855685.0,674545.0,559,1445,646,3176,-0.3821138211382114,-0.3897941262562201,-0.5730337078651685,-0.3745942436702013
Urban Areas,1,4855685.0,674555.0,1373,1445,1185,3176,-0.09885931558935361,1.4722536806342015,-0.14826078692263828,-0.3745942436702013
Urban Areas,1,4855685.0,674565.0,2235,1873,1874,2862,0.0002668801708033093,-0.0006850253459377997,0.00040026684456304204,-0.208870116156283
Urban Areas,1,4855685.0,674575.0,1858,1873,1626,2862,-0.07059159759931409,0.5771028037383178,-0.10587226746678097,-0.208870116156283
Urban Areas,1,4855685.0,674585.0,1053,1748,854,2350,-0.34358186010760955,-0.6486721811057902,-0.5152737752161384,-0.14690092728160078
Urban Areas,1,4855685.0,674595.0,1239,1748,919,2350,-0.31083614548181476,-0.9796738359725833,-0.46616682286785377,-0.14690092728160078
Urban Areas,1,4855685.0,674605.0,1506,1671,1135,2294,-0.1910192444761226,10.075187969924812,-0.28647781934794225,-0.157124842370744
Urban Areas,1,4855685.0,674615.0,1204,1671,844,2294,-0.32882703777335986,-1.1230309614340033,-0.49314251639833034,-0.157124842370744
Urban Areas,1,4855685.0,674625.0,922,1510,600,1825,-0.4312796208530806,-0.8284777858703569,-0.6467661691542289,-0.0944527736131934
Urban Areas,1,4855685.0,674635.0,1053,1510,710,1825,-0.36036036036036034,-1.0675206832132373,-0.5404188245890565,-0.0944527736131934
Urban Areas,1,4855685.0,674645.0,1057,950,670,1319,-0.1728395061728395,0.4497269514937359,-0.2591792656587473,-0.1626267078007933
Urban Areas,1,4855685.0,674655.0,742,950,556,1319,-0.26162018592297476,-1.4234104046242775,-0.3923000331895121,-0.1626267078007933
Urban Areas,1,4855685.0,674665.0,612,885,406,1341,-0.3710302091402014,-1.0625554569653948,-0.5563298490127758,-0.20485175202156333
Urban Areas,1,4855685.0,674675.0,917,885,617,1341,-0.17842876165113183,0.7056345444971037,-0.2675540765391015,-0.20485175202156333
