Class,Label,Latitude,Longitude,B02,B03,B04,B08,NDVI,EVI,SAVI,NDWI
Agricultural Areas,2,4951205.0,697335.0,435,930,530,2967,-0.273972602739726,-0.35106196243637,-0.4108182129407737,-0.5227097767513472
Agricultural Areas,2,4951205.0,697345.0,381,836,509,2903,-0.24312267657992565,-0.30635188308038225,-0.36454849498327757,-0.5528216100561647
Agricultural Areas,2,4951205.0,697355.0,429,836,611,2903,-0.15549412577747063,-0.23335407591785937,-0.23316062176165803,-0.5528216100561647
Agricultural Areas,2,4951205.0,697365.0,456,985,568,2954,-0.26851255634256277,-0.34079764628963716,-0.4026392018023817,-0.4998730642294999
Agricultural Areas,2,4951205.0,697375.0,430,985,541,2954,-0.290956749672346,-0.34397273008986673,-0.43629217163445794,-0.4998730642294999
Agricultural Areas,2,4951205.0,697385.0,416,971,522,3087,-0.30073677160080375,-0.3476308454629916,-0.45095413458319383,-0.5214391325776244
Agricultural Areas,2,4951205.0,697395.0,362,971,550,3087,-0.2767915844838922,-0.2874112506826871,-0.4150509365757476,-0.5214391325776244
Agricultural Areas,2,4951205.0,697405.0,402,965,535,2403,-0.2866666666666667,-0.3246753246753247,-0.4298567144285238,-0.42695961995249404
Urban Areas,1,4951205.0,697415.0,730,965,741,2403,-0.13130128956623682,-0.5298013245033113,-0.19689422795194844,-0.42695961995249404
Urban Areas,1,4951205.0,697425.0,642,1047,741,2986,-0.17114093959731544,-0.34631054775916703,-0.25663964215823315,-0.4807835358294074
Forests and semi-natural areas,3,4951205.0,697435.0,563,1047,645,2986,-0.2375886524822695,-0.3714655331731658,-0.35627769571639584,-0.4807835358294074
Forests and semi-natural areas,3,4951205.0,697445.0,497,975,520,2428,-0.30434782608695654,-0.43030073765840743,-0.4563691073219659,-0.4269761974728181
Forests and semi-natural areas,3,4951205.0,697455.0,542,975,524,2428,-0.3008672448298866,-0.4880952380952381,-0.4511503834611537,-0.4269761974728181
Forests and semi-natural areas,3,4951205.0,697465.0,508,793,499,1897,-0.22755417956656346,-0.5075966850828729,-0.3411992263056093,-0.4104089219330855
Forests and semi-natural areas,3,4951205.0,697475.0,484,793,490,1897,-0.23616523772408418,-0.46788140827671404,-0.35410985586287497,-0.4104089219330855
Forests and semi-natural areas,3,4951205.0,697485.0,489,752,490,1753,-0.2109500805152979,-0.4904530138524897,-0.31629778672032194,-0.3996007984031936
Forests and semi-natural areas,3,4951205.0,697495.0,507,752,486,1753,-0.2148626817447496,-0.5557877141663184,-0.3221639079531692,-0.3996007984031936
